ID,stakeholder,source_ID,doc_tone,doc_type,doc_raw,continent,region,country,country_code,income_level,urban_rural,month,year,topic_ID,title,report_ID,num_pages,URL,filename_original,word_count,continent_main,region_main,success_failure,ewb_Functional,ewb_Community.capacity,ewb_maintenance,wb_projectPerformance,wb_risktoDevelopment,matched_success_pathways,matched_fail_pathways,weighted_outcome,binary_outcome
104-14-999-76,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2014,water,The Mentor Match: How to Find a Mentor for Your Project,,1,https://www.ewb-usa.org/the-mentor-match-how-to-find-a-mentor-for-your-project/,,3459,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-14-CMR-82,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Cameroon,CMR,LM,none,1,2014,water,Getting to Know EWB-USA's Quality Project Process,,1,https://www.ewb-usa.org/getting-to-know-ewb-usas-quality-project-process/,,3448,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-14-GTM-75,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Guatemala,GTM,UM,none,1,2014,water,Building a Better (Online) World,,1,https://www.ewb-usa.org/building-a-better-online-world/,,4837,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-14-HND-73,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Honduras,HND,LM,none,1,2014,water,More than Mentorship: Arup's Story of Success,,1,https://www.ewb-usa.org/more-than-mentorship-arups-story-of-success/,,3082,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-14-HND-74,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Honduras,HND,LM,none,1,2014,water,The Future is Now: Assessing Financial Sustainability of Projects,,1,https://www.ewb-usa.org/the-future-is-now-assessing-financial-sustainability-of-projects/,,3506,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-14-HND-78,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Honduras,HND,LM,none,1,2014,water,"Applying the Three R's in Candelaria, Honduras",,1,https://www.ewb-usa.org/applying-the-three-rs-in-candelaria-honduras/,,3493,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-14-KEN-79,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Kenya,KEN,LM,rural,1,2014,water,Kenyan Students Safer After Partnership with Montana Students,,1,https://www.ewb-usa.org/students-in-kenya-safer-thanks-to-partnership-with-students-in-montana/,,2608,Africa,Sub-Saharan Africa,NA,,,,NA,,2,0,0.285714286,1
104-14-KEN-81,Engineer,EWB,I,B ,B ,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Kenya, Guatemala",KEN,LM,rural,1,2014,water,Putting the FUN Back in Fundraising,,1,https://www.ewb-usa.org/putting-the-fun-back-in-fundraising/,,3998,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-14-KEN-83,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Kenya,KEN,LM,rural,1,2014,water,Things worth doing aren't always easy things to do,,1,https://www.ewb-usa.org/things-worth-doing-arent-always-easy-things-to-do/,,4172,Africa,Sub-Saharan Africa,NA,,,,NA,,2,0,0.285714286,1
104-14-PER-84,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Peru,PER,UM,none,1,2014,water,Meet EWB-USA's New Project Engineer,,1,https://www.ewb-usa.org/meet-ewb-usas-new-project-engineer/,,2395,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
