"watersupply","waterquality","flowrate","cleanwater","drinkingwater","travelteam","implementationtrip","watercommittee","storagetank","communitymember","number","outcome","raw consist.","PRI consist.","SYM consist"
1,1,1,0,0,0,0,0,0,1,2,1,1,1,1
0,0,0,0,0,1,0,0,0,1,2,1,1,1,1
0,0,0,0,0,1,1,0,0,1,2,1,1,1,1
1,1,1,1,1,1,0,1,1,1,2,1,1,1,1
0,0,1,1,0,1,1,1,1,1,2,1,1,1,1
0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,1,0,0,0,0,1,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,1,1,0,1,0,0,0,0,1,1,1,1,1,1
1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
1,0,1,0,0,0,1,0,0,1,1,1,1,1,1
1,0,1,0,0,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
0,1,1,0,1,0,1,1,0,1,1,1,1,1,1
0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
0,0,0,0,0,1,1,0,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0
1,1,0,0,1,1,0,1,1,1,1,0,0,0,0
