"watersupply","waterpoint","cleanwater","watersystems","drinkingwater","safewater","opendefecation","handwashing","primaryschool","spareparts","number","outcome","raw consist.","PRI consist.","SYM consist"
0,1,1,0,0,1,0,0,0,0,3,1,1,1,1
0,0,1,0,0,0,0,0,0,0,2,1,1,1,1
1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
0,0,1,0,0,1,0,1,0,0,1,1,1,1,1
0,0,1,0,1,1,0,1,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,7,0,0.714286,0.714286,0.714286
1,1,0,1,0,0,0,0,0,1,5,0,0,0,0
1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1,1,0,1,1,1,0,0,0,1,1,0,0,0,0
